Team,GFperGame,GAperGame,AttStr,DefStr
Boston Bruins,2.46,1.4,1.19,0.68
Carolina Hurricanes,2.16,1.66,1.04,0.8
New Jersey Devils,2.36,1.81,1.14,0.87
Toronto Maple Leafs,2.26,1.72,1.09,0.83
New York Rangers,2.13,1.9,1.03,0.92
Vegas Golden Knights,2.19,2.01,1.06,0.97
Tampa Bay Lightning,2.16,1.9,1.04,0.92
Los Angeles Kings,2.11,2.01,1.02,0.97
Dallas Stars,2.19,1.83,1.06,0.88
Colorado Avalanche,2.01,1.79,0.97,0.86
Minnesota Wild,1.7,1.67,0.82,0.81
Edmonton Oilers,2.31,2.13,1.12,1.03
Seattle Kraken,2.52,2.0,1.22,0.97
Winnipeg Jets,1.91,1.87,0.92,0.9
New York Islanders,2.11,1.79,1.02,0.86
Pittsburgh Penguins,2.07,2.19,1.0,1.06
Florida Panthers,2.3,1.93,1.11,0.93
Calgary Flames,2.2,2.01,1.06,0.97
Nashville Predators,1.85,1.79,0.89,0.86
Washington Capitals,2.1,2.14,1.01,1.03
Buffalo Sabres,2.38,2.43,1.15,1.17
Ottawa Senators,1.8,2.25,0.87,1.09
Detroit Red Wings,1.78,2.09,0.86,1.01
St. Louis Blues,2.1,2.47,1.01,1.19
Vancouver Canucks,2.15,2.46,1.04,1.19
Arizona Coyotes,1.84,2.16,0.89,1.04
Philadelphia Flyers,1.8,2.01,0.87,0.97
Montreal Canadiens,2.0,2.4,0.97,1.16
Anaheim Ducks,1.75,2.75,0.85,1.33
Chicago Blackhawks,1.68,2.45,0.81,1.18
San Jose Sharks,2.04,2.57,0.99,1.24
Columbus Blue Jackets,1.76,2.62,0.85,1.27
,,,,
Avg,2.07,2.07,1.0,1.0
