Team,GFperGame,GAperGame,AttStr,DefStr
Boston Bruins,2.3,1.99,1.07,0.93
Carolina Hurricanes,2.36,1.75,1.1,0.82
New Jersey Devils,2.35,1.84,1.1,0.86
Toronto Maple Leafs,2.34,2.0,1.09,0.93
New York Rangers,2.08,2.13,0.97,1.0
Vegas Golden Knights,2.27,2.08,1.06,0.97
Tampa Bay Lightning,2.34,2.21,1.09,1.03
Los Angeles Kings,2.23,1.93,1.04,0.9
Dallas Stars,2.19,1.99,1.02,0.93
Colorado Avalanche,2.2,2.07,1.03,0.97
Minnesota Wild,2.06,1.94,0.96,0.91
Edmonton Oilers,2.38,2.05,1.11,0.96
Seattle Kraken,2.09,1.88,0.98,0.88
Winnipeg Jets,2.01,2.1,0.94,0.98
New York Islanders,2.2,2.2,1.03,1.03
Pittsburgh Penguins,2.4,2.27,1.12,1.06
Florida Panthers,2.5,2.17,1.17,1.01
Calgary Flames,2.31,1.89,1.08,0.88
Nashville Predators,2.11,2.27,0.99,1.06
Washington Capitals,2.17,2.1,1.01,0.98
Buffalo Sabres,2.28,2.43,1.07,1.14
Ottawa Senators,2.07,2.03,0.97,0.95
Detroit Red Wings,1.81,1.89,0.85,0.88
St. Louis Blues,2.09,2.46,0.98,1.15
Vancouver Canucks,2.1,2.22,0.98,1.04
Arizona Coyotes,1.81,2.37,0.85,1.11
Philadelphia Flyers,1.98,2.07,0.93,0.97
Montreal Canadiens,1.86,2.35,0.87,1.1
Anaheim Ducks,1.86,2.84,0.87,1.33
Chicago Blackhawks,1.79,2.53,0.84,1.18
San Jose Sharks,2.16,2.15,1.01,1.0
Columbus Blue Jackets,1.94,2.41,0.91,1.13
,,,,
Avg,2.14,2.14,1.0,1.0
