Team,GFperGame,GAperGame,AttStr,DefStr
Boston Bruins,3.74,2.16,1.19,0.69
Carolina Hurricanes,3.31,2.57,1.05,0.82
New Jersey Devils,3.46,2.68,1.1,0.85
Toronto Maple Leafs,3.42,2.68,1.09,0.85
New York Rangers,3.3,2.74,1.05,0.87
Vegas Golden Knights,3.19,2.78,1.01,0.88
Tampa Bay Lightning,3.47,3.01,1.1,0.96
Los Angeles Kings,3.33,3.2,1.06,1.02
Dallas Stars,3.43,2.73,1.09,0.87
Colorado Avalanche,3.25,2.76,1.03,0.88
Minnesota Wild,2.87,2.67,0.91,0.85
Edmonton Oilers,3.91,3.3,1.24,1.05
Seattle Kraken,3.48,3.19,1.1,1.01
Winnipeg Jets,3.06,2.83,0.97,0.9
New York Islanders,2.93,2.69,0.93,0.85
Pittsburgh Penguins,3.22,3.26,1.02,1.03
Florida Panthers,3.48,3.36,1.1,1.07
Calgary Flames,3.13,3.04,0.99,0.97
Nashville Predators,2.79,2.88,0.89,0.91
Washington Capitals,3.09,3.01,0.98,0.96
Buffalo Sabres,3.63,3.63,1.15,1.15
Ottawa Senators,3.13,3.29,0.99,1.04
Detroit Red Wings,2.93,3.25,0.93,1.03
St. Louis Blues,3.12,3.69,0.99,1.17
Vancouver Canucks,3.32,3.75,1.05,1.19
Arizona Coyotes,2.8,3.44,0.89,1.09
Philadelphia Flyers,2.61,3.3,0.83,1.05
Montreal Canadiens,2.77,3.71,0.88,1.18
Anaheim Ducks,2.59,4.03,0.82,1.28
Chicago Blackhawks,2.51,3.51,0.8,1.11
San Jose Sharks,2.84,3.76,0.9,1.19
Columbus Blue Jackets,2.63,3.81,0.83,1.21
,,,,
Avg,3.15,3.15,1.0,1.0
